TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
House,4500.0,490000.0,for rent,"F-10, Islamabad, Islamabad Capital",2010,5,5,6
House,1575.0,32000000.0,for sale,"G-15, Islamabad, Islamabad Capital",2024,5,6,2
House,1125.0,11000000.0,for sale,"H-13, Islamabad, Islamabad Capital",2022,3,3,2
House,2250.0,45500000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2025,5,6,1
House,5850.0,459999.0,for rent,"F-10, Islamabad, Islamabad Capital",2022,6,6,3
House,5850.0,240000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,3
House,9900.0,580000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2024,5,6,2
House,900.0,29500000.0,for sale,"G-13/1, G-13, Islamabad, Islamabad Capital",2024,4,4,2
House,3150.0,52500000.0,for sale,"G-15, Islamabad, Islamabad Capital",2019,6,6,1
Flat,1035.0,13000000.0,for sale,"Mumtaz City - Indus Block, Mumtaz City, Islamabad, Islamabad Capital",2024,2,2,2
Upper Portion,3195.0,85000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,3,3,1
House,19350.0,3200000.0,for rent,"G-6/3, G-6, Islamabad, Islamabad Capital",2020,5,6,10
House,8100.0,830000.0,for rent,"F-7/1, F-7, Islamabad, Islamabad Capital",2022,4,4,2
Flat,1507.5,75000000.0,for sale,"The Centaurus, F-8, Islamabad, Islamabad Capital",2022,2,3,3
Flat,1305.0,8300000.0,for sale,"River Hills 5, DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1
House,4005.0,250000000.0,for sale,"F-8, Islamabad, Islamabad Capital",2024,4,5,4
Upper Portion,1575.0,47000.0,for rent,"CBR Town Phase 1, CBR Town, Islamabad, Islamabad Capital",2024,2,3,1
House,1350.0,42000000.0,for sale,"G-10/4, G-10, Islamabad, Islamabad Capital",2023,3,3,2
House,900.0,31000000.0,for sale,"I-10/1, I-10, Islamabad, Islamabad Capital",2024,5,4,2
House,4500.0,350000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,7,4
House,4500.0,118500000.0,for sale,"DHA Phase 2 - Sector H, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,3
House,1125.0,24500000.0,for sale,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2025,4,5,1
House,1260.0,25000000.0,for sale,"I-14/2, I-14, Islamabad, Islamabad Capital",2025,5,5,1
House,2025.0,77000000.0,for sale,"G-9/4, G-9, Islamabad, Islamabad Capital",2024,4,4,1
House,2002.5,100000.0,for rent,"F-11/3, F-11, Islamabad, Islamabad Capital",2020,2,1,2
House,1125.0,35000000.0,for sale,"Margalla Town Phase 1, Margalla Town, Islamabad, Islamabad Capital",2015,3,4,1
Upper Portion,4500.0,250000.0,for rent,"F-10, Islamabad, Islamabad Capital",2024,3,4,1
House,4500.0,260000000.0,for sale,"F-10, Islamabad, Islamabad Capital",2016,5,6,5
Lower Portion,3150.0,70000.0,for rent,"G-15, Islamabad, Islamabad Capital",2023,3,3,1
House,1575.0,22000000.0,for sale,"Gulshan-e-Sehat 1, E-18, Islamabad, Islamabad Capital",2024,5,6,1
Upper Portion,4500.0,150000.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,3,3,1
Flat,765.0,30000.0,for rent,"MPCHS - Block B, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2025,2,2,1
House,4500.0,150000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,2
Flat,1507.5,290000.0,for rent,"F-8/1, F-8, Islamabad, Islamabad Capital",2023,1,3,10
House,1125.0,50000.0,for rent,"E-18, Islamabad, Islamabad Capital",2024,5,5,2
House,1575.0,95000.0,for rent,"Soan Garden - Block D, Soan Garden, Islamabad, Islamabad Capital",2025,4,4,1
House,2250.0,52500000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,4,5,2
House,4500.0,120000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,6,7,3
Flat,1080.0,16000000.0,for sale,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2015,2,2,1
Flat,1417.5,17000000.0,for sale,"Faisal Town - F-18, Islamabad, Islamabad Capital",2024,2,2,4
Flat,1620.0,25000000.0,for sale,"Luxus Mall and Residency, Gulberg Greens - Block B, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,3,3,1
House,1800.0,32000000.0,for sale,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2025,5,6,2
House,9000.0,2800000.0,for rent,"E-7, Islamabad, Islamabad Capital",2015,7,7,5
House,2250.0,190000.0,for rent,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,7,7,2
Flat,1620.0,31000000.0,for sale,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,2,2,1
House,675.0,1600000.0,for rent,"F-7, Islamabad, Islamabad Capital",2017,4,5,4
House,1125.0,16000000.0,for sale,"Park View City, Islamabad, Islamabad Capital",2025,4,5,1
Lower Portion,4950.0,200000.0,for rent,"F-11, Islamabad, Islamabad Capital",2010,3,3,3
Lower Portion,1125.0,65000.0,for rent,"G-11, Islamabad, Islamabad Capital",2016,3,2,1
House,990.0000000000001,150000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,3,2
Flat,1395.0,145000.0,for rent,"Gulberg Heights, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2023,2,2,1
House,4500.0,280000000.0,for sale,"F-7/2, F-7, Islamabad, Islamabad Capital",2024,8,7,2
Flat,540.0,8050000.0,for sale,"Roman Grove, DHA Phase 1 - Sector F, DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2024,2,1,1
Upper Portion,2250.0,82000.0,for rent,"G-13, Islamabad, Islamabad Capital",2021,3,3,1
House,4500.0,450000.0,for rent,"F-11, Islamabad, Islamabad Capital",2015,5,5,5
House,2250.0,93000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2022,6,7,2
House,4500.0,154000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,3
Lower Portion,4500.0,200000.0,for rent,"I-8/2, I-8, Islamabad, Islamabad Capital",2024,3,3,1
Upper Portion,2250.0,60000.0,for rent,"DHA Phase 2 - Sector E, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,3,3,1
Lower Portion,2700.0,140000.0,for rent,"G-10/4, G-10, Islamabad, Islamabad Capital",2024,3,3,1
House,1125.0,16800000.0,for sale,"B-17, Islamabad, Islamabad Capital",2024,4,5,2
House,4500.0,450000.0,for rent,"F-10, Islamabad, Islamabad Capital",2012,5,5,5
House,4500.0,180000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,8,6,4
House,2475.0,56000000.0,for sale,"DHA Phase 5 - Sector C, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,2
House,1800.0,60000000.0,for sale,"I-10, Islamabad, Islamabad Capital",2012,6,6,2
Upper Portion,2250.0,80000.0,for rent,"G-13, Islamabad, Islamabad Capital",2020,3,3,1
House,2250.0,32000000.0,for sale,"Gulshan-e-Sehat 1, E-18, Islamabad, Islamabad Capital",2024,9,6,2
House,2700.0,62500000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,5,5,2
House,1507.5,28000000.0,for sale,"I-10/2, I-10, Islamabad, Islamabad Capital",2024,5,6,2
Farm House,22500.0,100000000.0,for sale,"Gulberg Greens - Executive Block, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,6,6,1
House,9450.0,420000000.0,for sale,"F-7/2, F-7, Islamabad, Islamabad Capital",1980,4,4,10
Lower Portion,2700.0,85000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,3,3,2
Flat,1710.0,550000.0,for rent,"F-10, Islamabad, Islamabad Capital",2024,2,3,1
House,1350.0,60000000.0,for sale,"G-9/3, G-9, Islamabad, Islamabad Capital",2000,4,4,1
Lower Portion,3195.0,150000.0,for rent,"I-8, Islamabad, Islamabad Capital",2020,3,3,1
Flat,1372.5,40000.0,for rent,"Bahria Enclave - Sector H, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2022,2,2,1
House,1125.0,55000.0,for rent,"Ali Pur, Islamabad, Islamabad Capital",2025,4,3,5
Lower Portion,3150.0,150000.0,for rent,"I-8/4, I-8, Islamabad, Islamabad Capital",2024,3,3,1
House,2250.0,80000000.0,for sale,"G-9, Islamabad, Islamabad Capital",2000,5,5,3
House,1350.0,65000000.0,for sale,"G-8/2, G-8, Islamabad, Islamabad Capital",2017,5,4,1
Flat,1080.0,8500000.0,for sale,"Soan Garden - Block C, Soan Garden, Islamabad, Islamabad Capital",2024,2,2,1
Flat,810.0,80000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,1,1,1
House,990.0000000000001,1200000.0,for rent,"F-6, Islamabad, Islamabad Capital",2010,4,5,2
House,3150.0,65000000.0,for sale,"Bahria Garden City - Zone 1, Bahria Garden City, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,4
Flat,652.5,24500000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,1,1,1
House,2250.0,50000000.0,for sale,"Bahria Enclave - Sector C2, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
House,4500.0,150000000.0,for sale,"F-11, Islamabad, Islamabad Capital",2024,6,6,2
Upper Portion,2250.0,120000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,3,3,3
Upper Portion,4500.0,130000.0,for rent,"F-10, Islamabad, Islamabad Capital",2024,3,3,4
Flat,1080.0,14500000.0,for sale,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2024,2,2,1
House,2250.0,225000.0,for rent,"G-14/4, G-14, Islamabad, Islamabad Capital",2021,6,6,2
Flat,630.0,13000000.0,for sale,"Top City 1 - Block A, Top City 1, Islamabad, Islamabad Capital",2023,1,2,1
Lower Portion,4500.0,140000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,3,1
House,1125.0,56000000.0,for sale,"G-11, Islamabad, Islamabad Capital",2024,5,4,2
Flat,675.0,4500000.0,for sale,"G-15, Islamabad, Islamabad Capital",2000,2,2,2
Upper Portion,4500.0,641000.0,for rent,"F-7/1, F-7, Islamabad, Islamabad Capital",2025,3,3,2
House,1125.0,35000000.0,for sale,"Park View - Block H, Park View City, Islamabad, Islamabad Capital",2025,4,5,2
Flat,900.0,56000.0,for rent,"Pakistan Town - Phase 2, Pakistan Town, Islamabad, Islamabad Capital",2022,2,2,1
House,2250.0,42000000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,5,6,2
House,9000.0,195000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,5,6,4
Flat,202.5,20000.0,for rent,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,2,2,1
House,1350.0,53500000.0,for sale,"DHA Phase 2 - Sector J, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,7,6,2
House,990.0000000000001,33000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,3,5,2
Flat,2002.5,80000000.0,for sale,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital",2018,2,2,1
House,4950.0,380000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2020,6,6,4
Lower Portion,4500.0,130000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,3,4,2
Lower Portion,3150.0,125000.0,for rent,"I-8, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,240000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,6
House,675.0,6000000.0,for sale,"Tarnol, Islamabad, Islamabad Capital",2024,5,6,2
Flat,1170.0,45000.0,for rent,"Goldcrest Highlife, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,3,3,1
House,4500.0,165000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2025,7,6,4
Flat,922.4999999999999,48000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,2,2,1
House,2250.0,46000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,5
Flat,1440.0,24500000.0,for sale,"Margalla Hills-2, E-11, Islamabad, Islamabad Capital",2018,2,2,1
Upper Portion,2250.0,90000.0,for rent,"G-13, Islamabad, Islamabad Capital",2020,3,3,1
House,1125.0,18000000.0,for sale,"Capital Homes, H-13, Islamabad, Islamabad Capital",2024,4,6,2
House,1125.0,16500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,4,6,2
House,4500.0,110000000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,6,6,3
Upper Portion,5850.0,150000.0,for rent,"G-14, Islamabad, Islamabad Capital",2025,4,6,4
House,3195.0,130000.0,for rent,"D-17, Islamabad, Islamabad Capital",2000,6,7,1
Upper Portion,5400.0,150000.0,for rent,"I-8, Islamabad, Islamabad Capital",2024,3,3,3
House,1800.0,46000000.0,for sale,"Gulberg Residencia - Block I, Gulberg Residencia, Gulberg, Islamabad, Islamabad Capital",2024,5,5,2
Flat,1530.0,45000.0,for rent,"Al-Ghurair Giga, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,75000000.0,for sale,"Soan Garden, Islamabad, Islamabad Capital",2024,8,6,1
Flat,1440.0,60000.0,for rent,"The Royal Mall and Residency, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,1
House,3150.0,400000.0,for rent,"E-11, Islamabad, Islamabad Capital",2023,5,6,3
House,1125.0,16500000.0,for sale,"Bahria Garden City - Zone 5, Bahria Garden City, Bahria Town, Islamabad, Islamabad Capital",2025,3,3,1
House,2250.0,52500000.0,for sale,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,6,6,2
Flat,1147.5,14000000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,1
Flat,2250.0,24500000.0,for sale,"Askari Heights 4, DHA Phase 5 - Sector H, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,1
House,1575.0,105000.0,for rent,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",2024,5,6,2
Flat,495.00000000000006,32000.0,for rent,"PWD Housing Scheme, Islamabad, Islamabad Capital",2020,1,1,1
House,2992.5,300000000.0,for sale,"F-7/2, F-7, Islamabad, Islamabad Capital",2024,6,6,2
Upper Portion,1575.0,30000.0,for rent,"CDECHS - Cabinet Division Employees Cooperative Housing Society, E-16/3, E-16, Islamabad, Islamabad Capital",2024,3,3,1
Lower Portion,2250.0,38000.0,for rent,"E-16/3, E-16, Islamabad, Islamabad Capital",2024,3,4,1
House,5400.0,200000000.0,for sale,"I-8/3, I-8, Islamabad, Islamabad Capital",2005,6,6,6
Flat,1395.0,13500000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,3,3,1
House,1800.0,48000000.0,for sale,"DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,3
House,2250.0,150000.0,for rent,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2022,4,4,2
House,4950.0,375000.0,for rent,"F-7, Islamabad, Islamabad Capital",2016,4,4,4
House,900.0,90000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,4,4,2
Upper Portion,1125.0,27000.0,for rent,"Ghauri Town Phase 4A, Ghauri Town, Islamabad, Islamabad Capital",2024,2,2,1
House,5850.0,550000.0,for rent,"F-11/3, F-11, Islamabad, Islamabad Capital",2024,6,7,4
Flat,855.0,225000.0,for rent,"Sukh Chayn Residence, F-10, Islamabad, Islamabad Capital",2024,1,1,1
Flat,1192.5,56000000.0,for sale,"Diplomatic Enclave, Islamabad, Islamabad Capital",2024,2,3,1
Flat,2700.0,75000.0,for rent,"DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2022,4,4,1
Upper Portion,1800.0,50000.0,for rent,"G-14/2, G-14, Islamabad, Islamabad Capital",2025,3,3,1
Upper Portion,3150.0,140000.0,for rent,"D-12, Islamabad, Islamabad Capital",2020,3,3,1
Farm House,22500.0,80000000.0,for sale,"Multi Residencia & Orchards, Islamabad, Islamabad Capital",2024,8,6,15
House,1575.0,41500000.0,for sale,"Gulberg Residencia - Block F, Gulberg Residencia, Gulberg, Islamabad, Islamabad Capital",2024,4,4,3
Flat,2655.0,846000.0,for rent,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital",2024,3,3,1
Upper Portion,1800.0,85000.0,for rent,"G-11, Islamabad, Islamabad Capital",2024,3,3,1
Flat,607.5,30000.0,for rent,"F-15/2, F-15, Islamabad, Islamabad Capital",2024,2,2,1
Flat,585.0,22500000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,1,1,1
Flat,787.5,8300000.0,for sale,"Defence Executive Apartments, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2008,1,1,1
Upper Portion,2250.0,90000.0,for rent,"G-9, Islamabad, Islamabad Capital",2024,3,2,1
House,900.0,41000000.0,for sale,"G-13/4, G-13, Islamabad, Islamabad Capital",2000,4,5,2
House,4500.0,200000000.0,for sale,"F-10/2, F-10, Islamabad, Islamabad Capital",2024,6,6,2
House,1575.0,27500000.0,for sale,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,4,5,5
Upper Portion,2250.0,90000.0,for rent,"G-13, Islamabad, Islamabad Capital",2017,2,2,1
Upper Portion,4500.0,90000.0,for rent,"Doctors Housing Society, Islamabad, Islamabad Capital",2023,3,3,1
House,2452.5,300000.0,for rent,"G-9/4, G-9, Islamabad, Islamabad Capital",2024,5,6,2
House,1575.0,85000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,5,6,1
Flat,697.5,12500000.0,for sale,"G-11/3, G-11, Islamabad, Islamabad Capital",2018,2,2,1
House,1125.0,17000000.0,for sale,"National Police Foundation O-9, Islamabad, Islamabad Capital",2022,4,4,3
House,5400.0,1350000.0,for rent,"F-8, Islamabad, Islamabad Capital",2017,6,7,5
Flat,607.5,7300000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,1,1,1
House,16200.0,650000000.0,for sale,"F-8, Islamabad, Islamabad Capital",2024,5,5,2
House,4500.0,185000.0,for rent,"DHA Phase 2 - Sector E, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,6,6,3
House,4500.0,280000.0,for rent,"E-11, Islamabad, Islamabad Capital",2010,4,6,2
House,13500.0,220000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,6,6,2
Lower Portion,1575.0,80000.0,for rent,"G-13/3, G-13, Islamabad, Islamabad Capital",2022,3,3,1
Flat,1260.0,60000.0,for rent,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,2
House,9000.0,350000000.0,for sale,"F-10, Islamabad, Islamabad Capital",1990,10,7,8
Flat,4500.0,210000000.0,for sale,"The Centaurus, F-8, Islamabad, Islamabad Capital",2009,4,6,1
Flat,810.0,75000.0,for rent,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,2,2,2
Flat,2160.0,150000.0,for rent,"F-10, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,600000.0,for rent,"F-8/2, F-8, Islamabad, Islamabad Capital",2015,4,4,3
Lower Portion,900.0,45000.0,for rent,"G-13, Islamabad, Islamabad Capital",2023,2,2,1
Flat,1170.0,85000.0,for rent,"The Veranda Residence, E-11/1, E-11, Islamabad, Islamabad Capital",2024,1,1,1
House,900.0,114999.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,4,4,2
House,1800.0,64000000.0,for sale,"G-13/2, G-13, Islamabad, Islamabad Capital",2022,5,6,2
Flat,1237.5,22000000.0,for sale,"Smama Star Mall & Residency, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2021,3,3,1
House,1125.0,75000.0,for rent,"Bahria Enclave - Sector B1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,3,3,3
House,4500.0,155000000.0,for sale,"G-11, Islamabad, Islamabad Capital",2020,6,6,2
Flat,1642.5,35000000.0,for sale,"Warda Hamna Residencia 3, G-11/3, G-11, Islamabad, Islamabad Capital",2018,2,2,1
House,21600.0,,for sale,"F-6/2, F-6, Islamabad, Islamabad Capital",2010,5,6,4
Flat,1035.0,11500000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,10
House,1575.0,24500000.0,for sale,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,4,3,2
House,4500.0,470000.0,for rent,"F-10, Islamabad, Islamabad Capital",2024,5,5,2
House,4500.0,800000.0,for rent,"F-6/1, F-6, Islamabad, Islamabad Capital",2024,6,6,3
House,1800.0,36000000.0,for sale,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2017,5,6,1
Lower Portion,1575.0,45000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,2,3,3
Flat,1012.5,15800000.0,for sale,"Faisal Town Phase 1 - Block B, Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2023,2,2,1
House,9000.0,1500000.0,for rent,"F-11, Islamabad, Islamabad Capital",2018,9,7,6
Flat,1192.5,48000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2023,2,2,2
Lower Portion,2250.0,97000.0,for rent,"E-11, Islamabad, Islamabad Capital",2018,2,2,2
Flat,720.0,175000.0,for rent,"Constitution Avenue, Islamabad, Islamabad Capital",2024,1,1,1
Flat,1102.5,14200000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,1,2,1
Upper Portion,2700.0,70000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,105000000.0,for sale,"Faisal Town - F-18, Islamabad, Islamabad Capital",2024,10,6,2
Flat,967.5,32500000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,1,1,1
House,990.0000000000001,33000000.0,for sale,"G-13/1, G-13, Islamabad, Islamabad Capital",2021,4,5,1
House,2250.0,120000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2024,6,6,2
House,2250.0,39000000.0,for sale,"Margalla View Society - Block A, Margalla View Housing Society, D-17, Islamabad, Islamabad Capital",2024,5,6,2
House,3195.0,180000000.0,for sale,"I-8/2, I-8, Islamabad, Islamabad Capital",2024,7,6,4
House,2250.0,125000.0,for rent,"D-17, Islamabad, Islamabad Capital",2018,9,6,2
Flat,630.0,55000.0,for rent,"I-8/4, I-8, Islamabad, Islamabad Capital",2020,1,1,1
Flat,1507.5,25000000.0,for sale,"Faisal Town - F-18, Islamabad, Islamabad Capital",2023,3,3,4
House,1800.0,31500000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,6,6,2
House,7200.0,780000000.0,for sale,"F-7/3, F-7, Islamabad, Islamabad Capital",2024,6,6,7
House,1800.0,22000000.0,for sale,"MPCHS - Block C, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2021,5,6,1
House,450.0,4200000.0,for sale,"Khanna Pul, Islamabad, Islamabad Capital",2024,2,2,2
House,900.0,31000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,4,4,2
House,1350.0,54500000.0,for sale,"G-9/4, G-9, Islamabad, Islamabad Capital",1995,5,5,4
House,2700.0,120000000.0,for sale,"I-8, Islamabad, Islamabad Capital",2024,7,6,2
House,1125.0,67500000.0,for sale,"D-12/3, D-12, Islamabad, Islamabad Capital",2024,4,6,3
Flat,1057.5,45000.0,for rent,"Cube Apartments, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,1,2,1
House,2250.0,40000000.0,for sale,"Bahria Enclave - Sector J, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
House,900.0,40000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,4,4,1
House,5400.0,240000000.0,for sale,"F-8, Islamabad, Islamabad Capital",2000,5,5,3
House,4500.0,130000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,6,3
House,1125.0,56000000.0,for sale,"D-12/4, D-12, Islamabad, Islamabad Capital",2023,4,4,1
House,5850.0,450000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2024,8,7,2
House,4500.0,300000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,8,7,2
House,6300.0,350000000.0,for sale,"G-6, Islamabad, Islamabad Capital",2024,5,6,2
Lower Portion,4500.0,114999.0,for rent,"DHA Phase 1 - Sector F, DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2020,3,3,1
Flat,2745.0,60000.0,for rent,"Askari Heights 4, DHA Phase 5 - Sector H, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
Farm House,67500.0,150000000.0,for sale,"Simly Dam Road, Islamabad, Islamabad Capital",2024,6,6,1
House,2250.0,145000.0,for rent,"DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,2
Upper Portion,1575.0,50000.0,for rent,"G-15, Islamabad, Islamabad Capital",2022,2,3,2
House,1575.0,37500000.0,for sale,"Federation Housing Society - O-9, National Police Foundation O-9, Islamabad, Islamabad Capital",2024,5,5,2
Flat,1417.5,46000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,3,3,2
House,1800.0,30000000.0,for sale,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,5,6,2
Lower Portion,3195.0,120000.0,for rent,"G-10, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,700000.0,for rent,"F-7, Islamabad, Islamabad Capital",2020,7,6,3
House,2250.0,29900000.0,for sale,"Top City 1 - Block A, Top City 1, Islamabad, Islamabad Capital",2024,5,7,2
Upper Portion,4500.0,110000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,3,3,1
House,1350.0,32000000.0,for sale,"I-14/1, I-14, Islamabad, Islamabad Capital",2025,5,5,1
Flat,1710.0,150000.0,for rent,"Warda Hamna Residencia 3, G-11/3, G-11, Islamabad, Islamabad Capital",2025,3,3,2
Lower Portion,1575.0,36000.0,for rent,"British Homes Colony, I-13, Islamabad, Islamabad Capital",2024,3,2,1
House,4500.0,285000000.0,for sale,"F-7/1, F-7, Islamabad, Islamabad Capital",2020,5,5,1
Upper Portion,2700.0,135000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2024,3,3,1
Lower Portion,2700.0,75000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,4,4,1
Upper Portion,5400.0,220000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,3,1
Upper Portion,4500.0,180000.0,for rent,"G-11/3, G-11, Islamabad, Islamabad Capital",2024,3,3,1
Flat,1552.5,170000.0,for rent,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2024,3,3,1
