TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
Lower Portion,4500.0,200000.0,for rent,"F-10, Islamabad, Islamabad Capital",2020,3,3,2
House,1125.0,55000000.0,for sale,"D-12/1, D-12, Islamabad, Islamabad Capital",2024,4,5,2
Flat,337.5,6000000.0,for sale,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,1,1,1
Upper Portion,4500.0,69000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2017,3,4,1
House,2250.0,120000000.0,for sale,"D-12/1, D-12, Islamabad, Islamabad Capital",2022,6,6,1
Upper Portion,1350.0,45000.0,for rent,"I-10, Islamabad, Islamabad Capital",2024,2,1,1
House,2250.0,37500000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,5,6,2
House,2250.0,84000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,5,6,4
Flat,2025.0,90000000.0,for sale,"Sukh Chayn Residence, F-10, Islamabad, Islamabad Capital",2025,3,3,1
House,2250.0,52500000.0,for sale,"DHA Phase 3 - Block B, DHA Defence Phase 3, DHA Defence, Islamabad, Islamabad Capital",2025,7,7,3
House,2250.0,55000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,4,5,2
House,1575.0,58000000.0,for sale,"G-13/3, G-13, Islamabad, Islamabad Capital",2022,5,6,2
House,2250.0,65000000.0,for sale,"Gulberg Residencia - Block I, Gulberg Residencia, Gulberg, Islamabad, Islamabad Capital",2024,7,7,2
Flat,1192.5,40000.0,for rent,"Faisal Margalla City, B-17, Islamabad, Islamabad Capital",2024,2,2,1
Flat,1507.5,290000.0,for rent,"The Centaurus, F-8, Islamabad, Islamabad Capital",2020,1,2,1
Upper Portion,4500.0,80000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
House,27000.0,8100000.0,for rent,"F-6, Islamabad, Islamabad Capital",2024,10,6,20
Flat,1125.0,50000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,5
Flat,2092.5,200000.0,for rent,"Warda Hamna Residencia 3, G-11/3, G-11, Islamabad, Islamabad Capital",2014,3,3,1
House,1507.5,50000000.0,for sale,"G-9/3, G-9, Islamabad, Islamabad Capital",2024,3,3,2
Flat,292.5,20000.0,for rent,"Bahria Enclave - Sector G, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,1,1
Flat,675.0,36000.0,for rent,"PWD Housing Scheme, Islamabad, Islamabad Capital",2022,1,1,1
Lower Portion,4500.0,160000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,3,1,1
House,4500.0,145000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,5,3
House,2250.0,42000000.0,for sale,"F-15/1, F-15, Islamabad, Islamabad Capital",2024,7,6,2
